packet_seq_no,packet_delay_in_secs,flow_id,label
40,6e-05,3,with_out_qdisc
40,4.7e-05,2,with_out_qdisc
40,4.6e-05,5,with_out_qdisc
41,0.00051,1,with_out_qdisc
41,7.4e-05,4,with_out_qdisc
41,5.1e-05,3,with_out_qdisc
41,5.2e-05,2,with_out_qdisc
41,4.8e-05,5,with_out_qdisc
42,4.8e-05,1,with_out_qdisc
42,0.000169,4,with_out_qdisc
42,6.6e-05,3,with_out_qdisc
42,4.8e-05,2,with_out_qdisc
42,4.6e-05,5,with_out_qdisc
43,0.000214,1,with_out_qdisc
43,0.000137,4,with_out_qdisc
43,5.4e-05,3,with_out_qdisc
43,4.8e-05,2,with_out_qdisc
43,4.6e-05,5,with_out_qdisc
44,0.000219,1,with_out_qdisc
44,6.2e-05,4,with_out_qdisc
44,0.000171,3,with_out_qdisc
44,6.5e-05,2,with_out_qdisc
44,4.9e-05,5,with_out_qdisc
45,0.000213,1,with_out_qdisc
45,6.3e-05,4,with_out_qdisc
45,0.000116,3,with_out_qdisc
45,5.7e-05,2,with_out_qdisc
45,4.7e-05,5,with_out_qdisc
46,0.000364,1,with_out_qdisc
46,8e-05,4,with_out_qdisc
46,5.2e-05,3,with_out_qdisc
46,4.8e-05,2,with_out_qdisc
46,4.6e-05,5,with_out_qdisc
47,4.5e-05,1,with_out_qdisc
47,4.3e-05,4,with_out_qdisc
47,0.00026,3,with_out_qdisc
47,9.1e-05,2,with_out_qdisc
47,5.1e-05,5,with_out_qdisc
48,0.000425,1,with_out_qdisc
48,0.00017,4,with_out_qdisc
48,5.6e-05,3,with_out_qdisc
48,4.8e-05,2,with_out_qdisc
48,4.8e-05,5,with_out_qdisc
49,0.000207,1,with_out_qdisc
49,6.3e-05,4,with_out_qdisc
49,4.9e-05,3,with_out_qdisc
49,4.6e-05,2,with_out_qdisc
49,4.8e-05,5,with_out_qdisc
50,0.000203,1,with_out_qdisc
50,5.9e-05,4,with_out_qdisc
50,0.000158,3,with_out_qdisc
50,8.8e-05,2,with_out_qdisc
50,5e-05,5,with_out_qdisc
51,0.000218,1,with_out_qdisc
51,0.000328,4,with_out_qdisc
51,9.8e-05,3,with_out_qdisc
51,4.9e-05,2,with_out_qdisc
51,4.6e-05,5,with_out_qdisc
52,0.000217,1,with_out_qdisc
52,6.4e-05,4,with_out_qdisc
52,5e-05,3,with_out_qdisc
52,9.8e-05,2,with_out_qdisc
52,6.4e-05,5,with_out_qdisc
53,0.000337,1,with_out_qdisc
53,8.4e-05,4,with_out_qdisc
53,0.000235,3,with_out_qdisc
53,0.000465,2,with_out_qdisc
53,9e-05,5,with_out_qdisc
54,0.00014,1,with_out_qdisc
54,6.1e-05,4,with_out_qdisc
54,4.7e-05,3,with_out_qdisc
54,4.5e-05,2,with_out_qdisc
54,4.5e-05,5,with_out_qdisc
55,0.000215,1,with_out_qdisc
55,6.4e-05,4,with_out_qdisc
55,0.000286,3,with_out_qdisc
55,9.6e-05,2,with_out_qdisc
55,5e-05,5,with_out_qdisc
56,0.000211,1,with_out_qdisc
56,0.000187,4,with_out_qdisc
56,6.2e-05,3,with_out_qdisc
56,4.8e-05,2,with_out_qdisc
56,4.6e-05,5,with_out_qdisc
57,0.000214,1,with_out_qdisc
57,9.1e-05,4,with_out_qdisc
57,0.000119,3,with_out_qdisc
57,6.4e-05,2,with_out_qdisc
57,4.9e-05,5,with_out_qdisc
58,0.000216,1,with_out_qdisc
58,6.1e-05,4,with_out_qdisc
58,0.000122,3,with_out_qdisc
58,5.2e-05,2,with_out_qdisc
58,4.7e-05,5,with_out_qdisc
59,0.000208,1,with_out_qdisc
59,0.000156,4,with_out_qdisc
59,9.5e-05,3,with_out_qdisc
59,5e-05,2,with_out_qdisc
59,4.7e-05,5,with_out_qdisc
60,4.5e-05,1,with_out_qdisc
60,0.000193,4,with_out_qdisc
60,6.2e-05,3,with_out_qdisc
60,0.000141,2,with_out_qdisc
60,6.7e-05,5,with_out_qdisc
61,0.000202,1,with_out_qdisc
61,6.2e-05,4,with_out_qdisc
61,4.8e-05,3,with_out_qdisc
61,4.7e-05,2,with_out_qdisc
61,4.5e-05,5,with_out_qdisc
62,0.000173,1,with_out_qdisc
62,6.1e-05,4,with_out_qdisc
62,6.6e-05,3,with_out_qdisc
62,4.8e-05,2,with_out_qdisc
62,0.000164,5,with_out_qdisc
63,0.000203,1,with_out_qdisc
63,0.000159,4,with_out_qdisc
63,0.000105,3,with_out_qdisc
63,5.2e-05,2,with_out_qdisc
63,4.7e-05,5,with_out_qdisc
64,0.000209,1,with_out_qdisc
64,0.000144,4,with_out_qdisc
64,5.9e-05,3,with_out_qdisc
64,4.8e-05,2,with_out_qdisc
64,4.8e-05,5,with_out_qdisc
65,0.00021,1,with_out_qdisc
65,4.8e-05,4,with_out_qdisc
65,4.1e-05,3,with_out_qdisc
65,0.000152,2,with_out_qdisc
65,0.000143,5,with_out_qdisc
66,8.1e-05,1,with_out_qdisc
66,0.000179,4,with_out_qdisc
66,9.2e-05,3,with_out_qdisc
66,4.8e-05,2,with_out_qdisc
66,0.000156,5,with_out_qdisc
67,5.6e-05,1,with_out_qdisc
67,6.4e-05,4,with_out_qdisc
67,0.000237,3,with_out_qdisc
67,9.8e-05,2,with_out_qdisc
67,9.1e-05,5,with_out_qdisc
68,5.1e-05,1,with_out_qdisc
68,4.6e-05,4,with_out_qdisc
68,4.7e-05,3,with_out_qdisc
68,4.6e-05,2,with_out_qdisc
68,4.7e-05,5,with_out_qdisc
69,4.5e-05,1,with_out_qdisc
69,6.8e-05,4,with_out_qdisc
69,5.2e-05,3,with_out_qdisc
69,4.6e-05,2,with_out_qdisc
69,0.000189,5,with_out_qdisc
70,0.000213,1,with_out_qdisc
70,6.1e-05,4,with_out_qdisc
70,5e-05,3,with_out_qdisc
70,4.6e-05,2,with_out_qdisc
70,0.00016,5,with_out_qdisc
71,0.00022,1,with_out_qdisc
71,6.5e-05,4,with_out_qdisc
71,5.1e-05,3,with_out_qdisc
71,0.000143,2,with_out_qdisc
71,5.4e-05,5,with_out_qdisc
72,0.000382,1,with_out_qdisc
72,9e-05,4,with_out_qdisc
72,5.1e-05,3,with_out_qdisc
72,4.6e-05,2,with_out_qdisc
72,4.6e-05,5,with_out_qdisc
73,0.000208,1,with_out_qdisc
73,0.000124,4,with_out_qdisc
73,5.5e-05,3,with_out_qdisc
73,4.6e-05,2,with_out_qdisc
73,4.5e-05,5,with_out_qdisc
74,0.000214,1,with_out_qdisc
74,0.000152,4,with_out_qdisc
74,0.000101,3,with_out_qdisc
74,4.9e-05,2,with_out_qdisc
74,4.7e-05,5,with_out_qdisc
75,0.000331,1,with_out_qdisc
75,0.000114,4,with_out_qdisc
75,5.3e-05,3,with_out_qdisc
75,5e-05,2,with_out_qdisc
75,4.7e-05,5,with_out_qdisc
76,4.5e-05,1,with_out_qdisc
76,4.4e-05,4,with_out_qdisc
76,4.4e-05,3,with_out_qdisc
76,6.5e-05,2,with_out_qdisc
76,0.000106,5,with_out_qdisc
77,0.000289,1,with_out_qdisc
77,8.4e-05,4,with_out_qdisc
77,5e-05,3,with_out_qdisc
77,4.7e-05,2,with_out_qdisc
77,0.000111,5,with_out_qdisc
78,0.000286,1,with_out_qdisc
78,9.6e-05,4,with_out_qdisc
78,5.1e-05,3,with_out_qdisc
78,4.8e-05,2,with_out_qdisc
78,4.6e-05,5,with_out_qdisc
79,4.5e-05,1,with_out_qdisc
79,4.3e-05,4,with_out_qdisc
79,4.3e-05,3,with_out_qdisc
79,4.3e-05,2,with_out_qdisc
79,4.3e-05,5,with_out_qdisc
80,9.1e-05,1,with_out_qdisc
80,4.8e-05,4,with_out_qdisc
80,4.5e-05,3,with_out_qdisc
80,4.6e-05,2,with_out_qdisc
80,4.6e-05,5,with_out_qdisc
81,4.4e-05,1,with_out_qdisc
81,4.3e-05,4,with_out_qdisc
81,4.4e-05,3,with_out_qdisc
81,0.000216,2,with_out_qdisc
81,6.2e-05,5,with_out_qdisc
82,4.8e-05,1,with_out_qdisc
82,4.5e-05,4,with_out_qdisc
82,4.4e-05,3,with_out_qdisc
82,4.5e-05,2,with_out_qdisc
82,4.4e-05,5,with_out_qdisc
83,4.3e-05,1,with_out_qdisc
83,4.4e-05,4,with_out_qdisc
83,0.000115,3,with_out_qdisc
83,8.3e-05,2,with_out_qdisc
83,4.8e-05,5,with_out_qdisc
84,4.6e-05,1,with_out_qdisc
84,4.4e-05,4,with_out_qdisc
84,0.000182,3,with_out_qdisc
84,9.9e-05,2,with_out_qdisc
84,4.9e-05,5,with_out_qdisc
85,0.000151,1,with_out_qdisc
85,5.6e-05,4,with_out_qdisc
85,4.6e-05,3,with_out_qdisc
85,4.5e-05,2,with_out_qdisc
85,4.5e-05,5,with_out_qdisc
86,4.4e-05,1,with_out_qdisc
86,4.4e-05,4,with_out_qdisc
86,6.1e-05,3,with_out_qdisc
86,4.5e-05,2,with_out_qdisc
86,4.5e-05,5,with_out_qdisc
87,0.000117,1,with_out_qdisc
87,8.7e-05,4,with_out_qdisc
87,4.9e-05,3,with_out_qdisc
87,4.5e-05,2,with_out_qdisc
87,4.5e-05,5,with_out_qdisc
88,4.5e-05,1,with_out_qdisc
88,4.4e-05,4,with_out_qdisc
88,4.5e-05,3,with_out_qdisc
88,4.3e-05,2,with_out_qdisc
88,4.4e-05,5,with_out_qdisc
89,4.4e-05,1,with_out_qdisc
89,0.000287,4,with_out_qdisc
89,7e-05,3,with_out_qdisc
89,4.9e-05,2,with_out_qdisc
89,4.7e-05,5,with_out_qdisc
90,0.00031,1,with_out_qdisc
90,0.000113,4,with_out_qdisc
90,5.4e-05,3,with_out_qdisc
90,4.7e-05,2,with_out_qdisc
90,9.8e-05,5,with_out_qdisc
91,5.1e-05,1,with_out_qdisc
91,0.0001,4,with_out_qdisc
91,5e-05,3,with_out_qdisc
91,4.7e-05,2,with_out_qdisc
91,0.00015,5,with_out_qdisc
92,8.9e-05,1,with_out_qdisc
92,4.9e-05,4,with_out_qdisc
92,4.6e-05,3,with_out_qdisc
92,0.000131,2,with_out_qdisc
92,7.7e-05,5,with_out_qdisc
93,0.000215,1,with_out_qdisc
93,6.2e-05,4,with_out_qdisc
93,0.000105,3,with_out_qdisc
93,5.2e-05,2,with_out_qdisc
93,4.8e-05,5,with_out_qdisc
94,0.000394,1,with_out_qdisc
94,6.8e-05,4,with_out_qdisc
94,5.2e-05,3,with_out_qdisc
94,5.2e-05,2,with_out_qdisc
94,4.8e-05,5,with_out_qdisc
95,4.6e-05,1,with_out_qdisc
95,4.5e-05,4,with_out_qdisc
95,4.5e-05,3,with_out_qdisc
95,0.000157,2,with_out_qdisc
95,6.2e-05,5,with_out_qdisc
96,6.2e-05,1,with_out_qdisc
96,4.7e-05,4,with_out_qdisc
96,4.6e-05,3,with_out_qdisc
96,4.6e-05,2,with_out_qdisc
96,4.4e-05,5,with_out_qdisc
97,4.4e-05,1,with_out_qdisc
97,4.5e-05,4,with_out_qdisc
97,4.5e-05,3,with_out_qdisc
97,9e-05,2,with_out_qdisc
97,4.9e-05,5,with_out_qdisc
98,4.6e-05,1,with_out_qdisc
98,4.6e-05,4,with_out_qdisc
98,4.5e-05,3,with_out_qdisc
98,4.5e-05,2,with_out_qdisc
98,4.5e-05,5,with_out_qdisc
99,4.5e-05,1,with_out_qdisc
99,4.4e-05,4,with_out_qdisc
99,4.5e-05,3,with_out_qdisc
99,0.000127,2,with_out_qdisc
99,8.2e-05,5,with_out_qdisc
