packet_seq_no,packet_delay_in_secs,flow_id,label
54,28.193976,4,with_qdisc
54,28.295251,3,with_qdisc
54,28.401759,2,with_qdisc
54,28.531977,5,with_qdisc
55,28.609485,1,with_qdisc
55,28.727921,4,with_qdisc
55,28.81839,3,with_qdisc
55,28.966249,2,with_qdisc
55,29.040084,5,with_qdisc
56,29.135746,1,with_qdisc
56,29.241477,4,with_qdisc
56,29.341224,3,with_qdisc
56,29.447983,2,with_qdisc
56,29.56544,5,with_qdisc
57,29.651086,1,with_qdisc
57,29.758021,4,with_qdisc
57,29.865071,3,with_qdisc
57,29.971936,2,with_qdisc
57,30.077343,5,with_qdisc
58,30.173702,1,with_qdisc
58,30.280812,4,with_qdisc
58,30.38651,3,with_qdisc
58,30.49336,2,with_qdisc
58,30.600142,5,with_qdisc
59,30.69765,1,with_qdisc
59,30.803534,4,with_qdisc
59,30.910621,3,with_qdisc
59,31.016918,2,with_qdisc
59,31.123524,5,with_qdisc
60,31.220485,1,with_qdisc
60,31.326329,4,with_qdisc
60,31.433755,3,with_qdisc
60,31.539538,2,with_qdisc
60,31.646157,5,with_qdisc
61,31.743321,1,with_qdisc
61,31.849887,4,with_qdisc
61,31.95626,3,with_qdisc
61,32.062714,2,with_qdisc
61,32.170021,5,with_qdisc
62,32.266937,1,with_qdisc
62,32.372946,4,with_qdisc
62,32.479396,3,with_qdisc
62,32.58808,2,with_qdisc
62,32.693118,5,with_qdisc
63,32.78933,1,with_qdisc
63,32.89575,4,with_qdisc
63,33.002536,3,with_qdisc
63,33.109618,2,with_qdisc
63,33.216602,5,with_qdisc
64,33.3124,1,with_qdisc
64,33.41968,4,with_qdisc
64,33.52685,3,with_qdisc
64,33.632331,2,with_qdisc
64,33.738834,5,with_qdisc
65,33.839198,1,with_qdisc
65,33.941869,4,with_qdisc
65,34.051583,3,with_qdisc
65,34.169161,2,with_qdisc
65,34.266739,5,with_qdisc
66,34.35893,1,with_qdisc
66,34.465501,4,with_qdisc
66,34.571846,3,with_qdisc
66,34.678762,2,with_qdisc
66,34.784754,5,with_qdisc
67,34.880585,1,with_qdisc
67,34.987588,4,with_qdisc
67,35.097019,3,with_qdisc
67,35.207546,2,with_qdisc
67,35.310721,5,with_qdisc
68,35.403358,1,with_qdisc
68,35.509572,4,with_qdisc
68,35.615764,3,with_qdisc
68,35.730153,2,with_qdisc
68,35.851316,5,with_qdisc
69,35.928317,1,with_qdisc
69,36.038489,4,with_qdisc
69,36.155718,3,with_qdisc
69,36.246668,2,with_qdisc
69,36.353609,5,with_qdisc
70,36.466227,1,with_qdisc
70,36.556412,4,with_qdisc
70,36.66306,3,with_qdisc
70,36.769512,2,with_qdisc
70,36.876201,5,with_qdisc
71,36.973714,1,with_qdisc
71,37.079638,4,with_qdisc
71,37.186608,3,with_qdisc
71,37.29606,2,with_qdisc
71,37.405694,5,with_qdisc
72,37.523794,1,with_qdisc
72,37.603474,4,with_qdisc
72,37.758463,3,with_qdisc
72,37.815551,2,with_qdisc
72,37.922557,5,with_qdisc
73,38.019941,1,with_qdisc
73,38.127205,4,with_qdisc
73,38.24112,3,with_qdisc
73,38.34049,2,with_qdisc
73,38.446472,5,with_qdisc
74,38.548563,1,with_qdisc
74,38.649503,4,with_qdisc
74,38.757107,3,with_qdisc
74,38.864078,2,with_qdisc
74,38.969065,5,with_qdisc
75,39.069056,1,with_qdisc
75,39.172417,4,with_qdisc
75,39.278659,3,with_qdisc
75,39.389933,2,with_qdisc
75,39.49639,5,with_qdisc
76,39.587919,1,with_qdisc
76,39.694305,4,with_qdisc
76,39.800985,3,with_qdisc
76,39.907923,2,with_qdisc
76,40.014066,5,with_qdisc
77,40.111578,1,with_qdisc
77,40.237836,4,with_qdisc
77,40.324612,3,with_qdisc
77,40.431695,2,with_qdisc
77,40.536819,5,with_qdisc
78,40.659062,1,with_qdisc
78,40.741394,4,with_qdisc
78,40.847372,3,with_qdisc
78,40.954608,2,with_qdisc
78,41.061969,5,with_qdisc
79,41.158565,1,with_qdisc
79,41.263629,4,with_qdisc
79,41.369401,3,with_qdisc
79,41.476021,2,with_qdisc
79,41.583777,5,with_qdisc
80,41.680801,1,with_qdisc
80,41.786855,4,with_qdisc
80,41.901219,3,with_qdisc
80,42.00016,2,with_qdisc
80,42.106443,5,with_qdisc
81,42.203245,1,with_qdisc
81,42.313243,4,with_qdisc
81,42.428968,3,with_qdisc
81,42.526774,2,with_qdisc
81,42.629379,5,with_qdisc
82,42.726401,1,with_qdisc
82,42.859207,4,with_qdisc
82,42.94015,3,with_qdisc
82,43.063725,2,with_qdisc
82,43.159981,5,with_qdisc
83,43.264658,1,with_qdisc
83,43.35602,4,with_qdisc
83,43.466305,3,with_qdisc
83,43.567618,2,with_qdisc
83,43.702627,5,with_qdisc
84,43.773012,1,with_qdisc
84,43.878611,4,with_qdisc
84,43.994422,3,with_qdisc
84,44.10438,2,with_qdisc
84,44.198882,5,with_qdisc
85,44.295314,1,with_qdisc
85,44.403142,4,with_qdisc
85,44.508697,3,with_qdisc
85,44.61494,2,with_qdisc
85,44.722662,5,with_qdisc
86,44.818047,1,with_qdisc
86,44.924398,4,with_qdisc
86,45.031031,3,with_qdisc
86,45.137559,2,with_qdisc
86,45.244525,5,with_qdisc
87,45.340603,1,with_qdisc
87,45.446463,4,with_qdisc
87,45.552387,3,with_qdisc
87,45.663718,2,with_qdisc
87,45.767525,5,with_qdisc
88,45.873388,1,with_qdisc
88,45.971407,4,with_qdisc
88,46.07771,3,with_qdisc
88,46.184151,2,with_qdisc
88,46.290482,5,with_qdisc
89,46.429227,1,with_qdisc
89,46.5068,4,with_qdisc
89,46.602373,3,with_qdisc
89,46.71231,2,with_qdisc
89,46.813314,5,with_qdisc
90,46.909191,1,with_qdisc
90,47.015652,4,with_qdisc
90,47.123271,3,with_qdisc
90,47.228798,2,with_qdisc
90,47.339871,5,with_qdisc
91,47.423637,1,with_qdisc
91,47.529467,4,with_qdisc
91,47.636174,3,with_qdisc
91,47.742548,2,with_qdisc
91,47.855431,5,with_qdisc
92,47.956161,1,with_qdisc
92,48.062532,4,with_qdisc
92,48.172262,3,with_qdisc
92,48.275261,2,with_qdisc
92,48.423736,5,with_qdisc
93,48.487406,1,with_qdisc
93,48.613191,4,with_qdisc
93,48.714476,3,with_qdisc
93,48.803844,2,with_qdisc
93,48.915788,5,with_qdisc
94,49.012107,1,with_qdisc
94,49.108875,4,with_qdisc
94,49.229571,3,with_qdisc
94,49.344793,2,with_qdisc
94,49.42876,5,with_qdisc
95,49.524035,1,with_qdisc
